"_id","TIMESTAMP","SHORT_DESC","LONG_DESC","TYPE","LEVEL"
"153","Sep 8, 2017 5:33:55 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"154","Sep 8, 2017 6:33:57 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"155","Sep 8, 2017 7:01:26 AM","Power Source Connected","Device has been connected to power source","usb","info"
"156","Sep 8, 2017 7:01:26 AM","Screen Turned On","Screen has been turned on.","screen","info"
"157","Sep 8, 2017 7:01:57 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"158","Sep 8, 2017 7:33:59 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"159","Sep 8, 2017 8:13:46 AM","Screen Turned On","Screen has been turned on.","screen","info"
"160","Sep 8, 2017 8:14:17 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"161","Sep 8, 2017 8:34:01 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"162","Sep 8, 2017 8:36:05 AM","Screen Turned On","Screen has been turned on.","screen","info"
"163","Sep 8, 2017 8:36:36 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"164","Sep 8, 2017 8:58:47 AM","Screen Turned On","Screen has been turned on.","screen","info"
"165","Sep 8, 2017 8:59:18 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"166","Sep 8, 2017 9:07:40 AM","Application Replaced: [Google Play Store]","Application has been re-installed.<br> •Application Name: Google Play Store<br> •Package Name: com.android.vending<br>","app","warning"
"167","Sep 8, 2017 9:10:05 AM","Screen Turned On","Screen has been turned on.","screen","info"
"168","Sep 8, 2017 9:10:08 AM","Screen Unlocked","User has unlocked the device.","screen","info"
"169","Sep 8, 2017 9:10:08 AM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"170","Sep 8, 2017 9:10:11 AM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
"171","Sep 8, 2017 9:10:12 AM","App Started/Resumed: [Launcher]","Application 'Launcher'[com.android.launcher] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"172","Sep 8, 2017 9:10:13 AM","Orientation Changed: [LANDSCAPE]","Device orientation has changed from portrait to landscape","orientation","info"
"173","Sep 8, 2017 9:10:13 AM","App Started/Resumed: [Google App]","Application 'Google App'[com.google.android.googlequicksearchbox] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"174","Sep 8, 2017 9:10:20 AM","App Started/Resumed: [Clock]","Application 'Clock'[com.google.android.deskclock] has been started or resumed.<br>The application was brought in front of all other applications.","app","info"
"175","Sep 8, 2017 9:10:51 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"176","Sep 8, 2017 9:10:56 AM","Orientation Changed: [PORTRAIT]","Device orientation has changed from landscape to portrait","orientation","info"
"177","Sep 8, 2017 9:14:40 AM","WiFi State Changed: <font color=green>[CONNECTED]</font>","Connected to WiFi network.<br> •SSID: "
"shortbus"
"<br> •BSSID: b8:27:eb:55:80:85<br> •MAC: 40:b0:fa:c3:44:4a<br> •IP Address: 2030217408<br>","wifi","info"
"178","Sep 8, 2017 9:34:03 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"179","Sep 8, 2017 10:34:05 AM","Time changed","User has changed device time settings.<br>This event will also happen from time to time if Automatic date & time option is enabled","time","warning"
"180","Sep 8, 2017 10:44:44 AM","Screen Turned On","Screen has been turned on.","screen","info"
"181","Sep 8, 2017 10:45:14 AM","Screen Turned Off","Screen has been turned off.","screen","info"
"182","Sep 8, 2017 10:58:50 AM","Screen Turned On","Screen has been turned on.","screen","info"
